index,time,x,y,z,rx,ry,rz
0 days 00:00:05,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0 days 00:00:05.010000,5.01,0.009686,0.0076950000000000005,0.0123985,0.026456,-0.026044499999999998,0.0013322
0 days 00:00:05.020000,5.02,0.019372,0.015390000000000001,0.024797,0.052912,-0.052088999999999996,0.0026644
0 days 00:00:05.030000,5.03,0.029058,0.023085,0.0371955,0.079368,-0.0781335,0.0039965999999999995
0 days 00:00:05.040000,5.04,0.038744,0.030780000000000002,0.049594,0.105824,-0.10417799999999999,0.0053288
0 days 00:00:05.050000,5.05,0.04843,0.038475,0.0619925,0.13228,-0.1302225,0.006661
0 days 00:00:05.060000,5.0600000000000005,0.058116,0.04617,0.074391,0.158736,-0.156267,0.007993199999999999
0 days 00:00:05.070000,5.07,0.067802,0.053865,0.08678949999999999,0.185192,-0.1823115,0.0093254
0 days 00:00:05.080000,5.08,0.077488,0.061560000000000004,0.099188,0.211648,-0.20835599999999999,0.0106576
0 days 00:00:05.090000,5.09,0.087174,0.06925500000000001,0.1115865,0.238104,-0.23440049999999998,0.0119898
0 days 00:00:05.100000,5.1,0.09686,0.07695,0.123985,0.26456,-0.260445,0.013322
0 days 00:00:05.110000,5.11,0.106546,0.084645,0.1363835,0.291016,-0.28648949999999995,0.0146542
0 days 00:00:05.120000,5.12,0.116232,0.09234,0.148782,0.317472,-0.312534,0.015986399999999998
0 days 00:00:05.130000,5.13,0.125918,0.10003500000000001,0.1611805,0.343928,-0.3385785,0.0173186
0 days 00:00:05.140000,5.140000000000001,0.135604,0.10773,0.17357899999999998,0.370384,-0.364623,0.0186508
0 days 00:00:05.150000,5.15,0.14529,0.115425,0.1859775,0.39684,-0.39066749999999995,0.019983
0 days 00:00:05.160000,5.16,0.154976,0.12312000000000001,0.198376,0.423296,-0.41671199999999997,0.0213152
0 days 00:00:05.170000,5.17,0.164662,0.13081500000000001,0.2107745,0.449752,-0.4427565,0.022647399999999998
0 days 00:00:05.180000,5.18,0.174348,0.13851000000000002,0.223173,0.476208,-0.46880099999999997,0.0239796
0 days 00:00:05.190000,5.19,0.184034,0.146205,0.2355715,0.502664,-0.49484549999999994,0.0253118
0 days 00:00:05.200000,5.2,0.19372,0.1539,0.24797,0.52912,-0.52089,0.026644
0 days 00:00:05.210000,5.21,0.164605,0.12251550000000001,0.2869365,0.559779,-0.5511604999999999,0.0397283
0 days 00:00:05.220000,5.220000000000001,0.13549,0.09113100000000002,0.325903,0.590438,-0.581431,0.0528126
0 days 00:00:05.230000,5.23,0.106375,0.05974650000000002,0.3648695,0.621097,-0.6117015,0.0658969
0 days 00:00:05.240000,5.24,0.07726,0.028362000000000026,0.403836,0.651756,-0.641972,0.0789812
0 days 00:00:05.250000,5.25,0.04814499999999999,-0.0030224999999999558,0.4428025,0.682415,-0.6722425,0.0920655
0 days 00:00:05.260000,5.26,0.01902999999999999,-0.034406999999999965,0.481769,0.713074,-0.7025129999999999,0.10514979999999999
0 days 00:00:05.270000,5.2700000000000005,-0.01008500000000001,-0.06579149999999998,0.5207355,0.7437330000000001,-0.7327835,0.1182341
0 days 00:00:05.280000,5.28,-0.03920000000000001,-0.09717599999999996,0.559702,0.7743920000000001,-0.763054,0.1313184
0 days 00:00:05.290000,5.29,-0.06831500000000001,-0.12856049999999994,0.5986685,0.8050510000000001,-0.7933245,0.1444027
0 days 00:00:05.300000,5.300000000000001,-0.09743000000000002,-0.15994499999999992,0.6376350000000001,0.8357100000000001,-0.8235950000000001,0.157487
0 days 00:00:05.310000,5.3100000000000005,-0.12654500000000002,-0.19132949999999996,0.6766015,0.8663690000000001,-0.8538655,0.17057129999999998
0 days 00:00:05.320000,5.32,-0.15566000000000002,-0.22271399999999994,0.715568,0.897028,-0.884136,0.18365559999999997
0 days 00:00:05.330000,5.33,-0.18477500000000002,-0.2540984999999999,0.7545345,0.927687,-0.9144065,0.19673989999999997
0 days 00:00:05.340000,5.34,-0.21389000000000002,-0.28548299999999993,0.793501,0.9583460000000001,-0.944677,0.2098242
0 days 00:00:05.350000,5.3500000000000005,-0.24300500000000003,-0.31686749999999997,0.8324675,0.9890050000000001,-0.9749475000000001,0.22290849999999998
0 days 00:00:05.360000,5.36,-0.27212000000000003,-0.3482519999999999,0.871434,1.0196640000000001,-1.0052180000000002,0.23599279999999997
0 days 00:00:05.370000,5.37,-0.30123500000000003,-0.37963649999999993,0.9104005000000001,1.0503230000000001,-1.0354885,0.24907709999999997
0 days 00:00:05.380000,5.380000000000001,-0.33035000000000003,-0.41102099999999986,0.9493670000000001,1.080982,-1.065759,0.2621614
0 days 00:00:05.390000,5.390000000000001,-0.35946500000000003,-0.4424054999999999,0.9883335000000001,1.111641,-1.0960295000000002,0.2752457
0 days 00:00:05.400000,5.4,-0.38858,-0.47379,1.0273,1.1423,-1.1263,0.28833
0 days 00:00:05.410000,5.41,-0.41272549999999997,-0.49096,1.0490300000000001,1.1567450000000001,-1.138765,0.2980315
0 days 00:00:05.420000,5.42,-0.436871,-0.50813,1.0707600000000002,1.1711900000000002,-1.15123,0.307733
0 days 00:00:05.430000,5.430000000000001,-0.4610165,-0.5253,1.0924900000000002,1.185635,-1.1636950000000001,0.31743449999999995
0 days 00:00:05.440000,5.44,-0.485162,-0.54247,1.11422,1.20008,-1.17616,0.327136
0 days 00:00:05.450000,5.45,-0.5093075,-0.5596399999999999,1.13595,1.214525,-1.188625,0.3368375
0 days 00:00:05.460000,5.46,-0.533453,-0.5768099999999999,1.15768,1.2289700000000001,-1.20109,0.346539
0 days 00:00:05.470000,5.47,-0.5575985,-0.59398,1.17941,1.2434150000000002,-1.213555,0.35624049999999996
0 days 00:00:05.480000,5.48,-0.581744,-0.61115,1.20114,1.25786,-1.22602,0.365942
0 days 00:00:05.490000,5.49,-0.6058895,-0.62832,1.2228700000000001,1.272305,-1.238485,0.3756435
0 days 00:00:05.500000,5.5,-0.630035,-0.6454899999999999,1.2446000000000002,1.28675,-1.25095,0.385345
0 days 00:00:05.510000,5.51,-0.6541805,-0.66266,1.26633,1.301195,-1.263415,0.39504649999999997
0 days 00:00:05.520000,5.52,-0.678326,-0.6798299999999999,1.28806,1.3156400000000001,-1.27588,0.404748
0 days 00:00:05.530000,5.53,-0.7024714999999999,-0.697,1.30979,1.330085,-1.288345,0.4144495
0 days 00:00:05.540000,5.54,-0.7266170000000001,-0.71417,1.33152,1.34453,-1.30081,0.424151
0 days 00:00:05.550000,5.55,-0.7507625,-0.7313399999999999,1.35325,1.358975,-1.313275,0.4338525
0 days 00:00:05.560000,5.56,-0.7749079999999999,-0.74851,1.3749799999999999,1.37342,-1.32574,0.443554
0 days 00:00:05.570000,5.569999999999999,-0.7990535,-0.7656799999999999,1.39671,1.3878650000000001,-1.3382049999999999,0.45325550000000003
0 days 00:00:05.580000,5.58,-0.823199,-0.7828499999999999,1.41844,1.40231,-1.35067,0.462957
0 days 00:00:05.590000,5.59,-0.8473445,-0.80002,1.44017,1.416755,-1.363135,0.4726585
0 days 00:00:05.600000,5.6,-0.87149,-0.81719,1.4619,1.4312,-1.3756,0.48236
0 days 00:00:05.610000,5.609999999999999,-0.8872955,-0.8210799999999999,1.468515,1.431015,-1.3758899999999998,0.4862445
0 days 00:00:05.620000,5.619999999999999,-0.9031009999999999,-0.82497,1.47513,1.43083,-1.37618,0.49012900000000004
0 days 00:00:05.630000,5.63,-0.9189065,-0.8288599999999999,1.481745,1.430645,-1.3764699999999999,0.4940135
0 days 00:00:05.640000,5.64,-0.934712,-0.83275,1.48836,1.43046,-1.37676,0.497898
0 days 00:00:05.650000,5.6499999999999995,-0.9505175,-0.8366399999999999,1.494975,1.430275,-1.3770499999999999,0.5017825
0 days 00:00:05.660000,5.66,-0.966323,-0.84053,1.50159,1.43009,-1.37734,0.505667
0 days 00:00:05.670000,5.67,-0.9821285,-0.84442,1.508205,1.429905,-1.37763,0.5095515
0 days 00:00:05.680000,5.68,-0.997934,-0.84831,1.51482,1.42972,-1.37792,0.513436
0 days 00:00:05.690000,5.6899999999999995,-1.0137395,-0.8522,1.521435,1.429535,-1.37821,0.5173205000000001
0 days 00:00:05.700000,5.699999999999999,-1.029545,-0.85609,1.52805,1.42935,-1.3784999999999998,0.521205
0 days 00:00:05.710000,5.71,-1.0453505,-0.85998,1.534665,1.429165,-1.37879,0.5250895
0 days 00:00:05.720000,5.72,-1.061156,-0.8638699999999999,1.54128,1.42898,-1.3790799999999999,0.528974
0 days 00:00:05.730000,5.7299999999999995,-1.0769615,-0.86776,1.547895,1.428795,-1.37937,0.5328585
0 days 00:00:05.740000,5.74,-1.092767,-0.8716499999999999,1.55451,1.42861,-1.3796599999999999,0.5367430000000001
0 days 00:00:05.750000,5.75,-1.1085725,-0.87554,1.561125,1.428425,-1.37995,0.5406275
0 days 00:00:05.760000,5.76,-1.124378,-0.8794299999999999,1.5677400000000001,1.42824,-1.38024,0.544512
0 days 00:00:05.770000,5.77,-1.1401835,-0.88332,1.5743550000000002,1.428055,-1.38053,0.5483965000000001
0 days 00:00:05.780000,5.779999999999999,-1.155989,-0.8872099999999999,1.58097,1.42787,-1.38082,0.552281
0 days 00:00:05.790000,5.79,-1.1717944999999999,-0.8911,1.587585,1.427685,-1.38111,0.5561655000000001
0 days 00:00:05.800000,5.8,-1.1876,-0.89499,1.5942,1.4275,-1.3814,0.56005
0 days 00:00:05.810000,5.81,-1.19619,-0.8919849999999999,1.5934350000000002,1.42106,-1.377175,0.561705
0 days 00:00:05.820000,5.82,-1.20478,-0.88898,1.59267,1.41462,-1.37295,0.5633600000000001
0 days 00:00:05.830000,5.83,-1.21337,-0.885975,1.5919050000000001,1.40818,-1.368725,0.565015
0 days 00:00:05.840000,5.84,-1.22196,-0.8829699999999999,1.59114,1.40174,-1.3645,0.56667
0 days 00:00:05.850000,5.85,-1.23055,-0.879965,1.590375,1.3953,-1.360275,0.568325
0 days 00:00:05.860000,5.859999999999999,-1.23914,-0.87696,1.58961,1.38886,-1.35605,0.56998
0 days 00:00:05.870000,5.87,-1.24773,-0.8739549999999999,1.588845,1.38242,-1.351825,0.571635
0 days 00:00:05.880000,5.88,-1.2563199999999999,-0.87095,1.58808,1.37598,-1.3476,0.57329
0 days 00:00:05.890000,5.89,-1.26491,-0.867945,1.587315,1.36954,-1.343375,0.574945
0 days 00:00:05.900000,5.9,-1.2734999999999999,-0.86494,1.58655,1.3631,-1.33915,0.5766
0 days 00:00:05.910000,5.91,-1.28209,-0.861935,1.585785,1.35666,-1.334925,0.578255
0 days 00:00:05.920000,5.92,-1.29068,-0.85893,1.58502,1.35022,-1.3307,0.57991
0 days 00:00:05.930000,5.93,-1.29927,-0.855925,1.584255,1.34378,-1.3264749999999998,0.581565
0 days 00:00:05.940000,5.9399999999999995,-1.30786,-0.85292,1.58349,1.33734,-1.32225,0.58322
0 days 00:00:05.950000,5.95,-1.31645,-0.849915,1.582725,1.3309,-1.318025,0.584875
0 days 00:00:05.960000,5.96,-1.32504,-0.84691,1.58196,1.32446,-1.3137999999999999,0.58653
0 days 00:00:05.970000,5.97,-1.3336299999999999,-0.843905,1.581195,1.31802,-1.309575,0.588185
0 days 00:00:05.980000,5.98,-1.34222,-0.8409,1.58043,1.31158,-1.30535,0.5898399999999999
0 days 00:00:05.990000,5.99,-1.3508099999999998,-0.8378950000000001,1.5796649999999999,1.30514,-1.3011249999999999,0.591495
0 days 00:00:06,6.0,-1.3594,-0.83489,1.5789,1.2987,-1.2969,0.59315
0 days 00:00:06.010000,6.01,-1.363775,-0.831555,1.577635,1.295955,-1.29666,0.5945999999999999
0 days 00:00:06.020000,6.02,-1.36815,-0.8282200000000001,1.57637,1.29321,-1.29642,0.59605
0 days 00:00:06.030000,6.03,-1.372525,-0.824885,1.575105,1.290465,-1.2961799999999999,0.5974999999999999
0 days 00:00:06.040000,6.04,-1.3769,-0.82155,1.57384,1.28772,-1.2959399999999999,0.59895
0 days 00:00:06.050000,6.05,-1.381275,-0.818215,1.572575,1.284975,-1.2957,0.6003999999999999
0 days 00:00:06.060000,6.0600000000000005,-1.38565,-0.81488,1.57131,1.28223,-1.29546,0.60185
0 days 00:00:06.070000,6.07,-1.390025,-0.8115450000000001,1.570045,1.279485,-1.29522,0.6033
0 days 00:00:06.080000,6.08,-1.3944,-0.80821,1.56878,1.27674,-1.29498,0.60475
0 days 00:00:06.090000,6.09,-1.398775,-0.804875,1.567515,1.273995,-1.29474,0.6062
0 days 00:00:06.100000,6.1,-1.4031500000000001,-0.80154,1.5662500000000001,1.27125,-1.2945,0.60765
0 days 00:00:06.110000,6.11,-1.407525,-0.798205,1.564985,1.268505,-1.29426,0.6091
0 days 00:00:06.120000,6.12,-1.4119,-0.7948700000000001,1.56372,1.26576,-1.29402,0.6105499999999999
0 days 00:00:06.130000,6.13,-1.416275,-0.791535,1.5624550000000001,1.263015,-1.29378,0.612
0 days 00:00:06.140000,6.140000000000001,-1.42065,-0.7882,1.56119,1.26027,-1.29354,0.6134499999999999
0 days 00:00:06.150000,6.15,-1.425025,-0.784865,1.559925,1.257525,-1.2933,0.6149
0 days 00:00:06.160000,6.16,-1.4294,-0.7815300000000001,1.5586600000000002,1.25478,-1.29306,0.61635
0 days 00:00:06.170000,6.17,-1.433775,-0.7781950000000001,1.557395,1.252035,-1.29282,0.6178
0 days 00:00:06.180000,6.18,-1.43815,-0.77486,1.55613,1.24929,-1.29258,0.61925
0 days 00:00:06.190000,6.19,-1.442525,-0.771525,1.5548650000000002,1.246545,-1.29234,0.6207
0 days 00:00:06.200000,6.2,-1.4469,-0.76819,1.5536,1.2438,-1.2921,0.62215
0 days 00:00:06.210000,6.21,-1.450045,-0.76603,1.553425,1.24879,-1.29691,0.6273385
0 days 00:00:06.220000,6.220000000000001,-1.45319,-0.76387,1.55325,1.25378,-1.30172,0.632527
0 days 00:00:06.230000,6.23,-1.4563350000000002,-0.76171,1.553075,1.25877,-1.30653,0.6377155
0 days 00:00:06.240000,6.24,-1.45948,-0.7595500000000001,1.5529000000000002,1.26376,-1.31134,0.642904
0 days 00:00:06.250000,6.25,-1.462625,-0.75739,1.5527250000000001,1.26875,-1.31615,0.6480925
0 days 00:00:06.260000,6.26,-1.46577,-0.7552300000000001,1.55255,1.27374,-1.3209600000000001,0.653281
0 days 00:00:06.270000,6.2700000000000005,-1.468915,-0.75307,1.552375,1.27873,-1.3257700000000001,0.6584695
0 days 00:00:06.280000,6.28,-1.4720600000000001,-0.7509100000000001,1.5522,1.28372,-1.33058,0.663658
0 days 00:00:06.290000,6.29,-1.475205,-0.74875,1.552025,1.28871,-1.33539,0.6688465
0 days 00:00:06.300000,6.300000000000001,-1.47835,-0.7465900000000001,1.55185,1.2936999999999999,-1.3402,0.6740349999999999
0 days 00:00:06.310000,6.3100000000000005,-1.481495,-0.74443,1.5516750000000001,1.29869,-1.34501,0.6792235
0 days 00:00:06.320000,6.32,-1.48464,-0.74227,1.5515,1.30368,-1.34982,0.684412
0 days 00:00:06.330000,6.33,-1.4877850000000001,-0.74011,1.551325,1.30867,-1.35463,0.6896005
0 days 00:00:06.340000,6.34,-1.49093,-0.73795,1.55115,1.31366,-1.35944,0.694789
0 days 00:00:06.350000,6.3500000000000005,-1.494075,-0.73579,1.550975,1.3186499999999999,-1.3642500000000002,0.6999775
0 days 00:00:06.360000,6.36,-1.49722,-0.73363,1.5508,1.32364,-1.3690600000000002,0.705166
0 days 00:00:06.370000,6.37,-1.500365,-0.7314700000000001,1.5506250000000001,1.32863,-1.3738700000000001,0.7103545
0 days 00:00:06.380000,6.380000000000001,-1.5035100000000001,-0.72931,1.55045,1.3336199999999998,-1.3786800000000001,0.715543
0 days 00:00:06.390000,6.390000000000001,-1.506655,-0.7271500000000001,1.550275,1.3386099999999999,-1.38349,0.7207315
0 days 00:00:06.400000,6.4,-1.5098,-0.72499,1.5501,1.3436,-1.3883,0.72592
0 days 00:00:06.410000,6.41,-1.513935,-0.71968,1.5479,1.3500949999999998,-1.39493,0.736401
0 days 00:00:06.420000,6.42,-1.51807,-0.7143700000000001,1.5457,1.35659,-1.4015600000000001,0.746882
0 days 00:00:06.430000,6.430000000000001,-1.522205,-0.70906,1.5435,1.3630849999999999,-1.40819,0.757363
0 days 00:00:06.440000,6.44,-1.52634,-0.70375,1.5413000000000001,1.36958,-1.41482,0.767844
0 days 00:00:06.450000,6.45,-1.530475,-0.69844,1.5391,1.376075,-1.42145,0.778325
0 days 00:00:06.460000,6.46,-1.53461,-0.69313,1.5369,1.3825699999999999,-1.42808,0.788806
0 days 00:00:06.470000,6.47,-1.538745,-0.68782,1.5347,1.389065,-1.43471,0.799287
0 days 00:00:06.480000,6.48,-1.54288,-0.68251,1.5325,1.39556,-1.44134,0.809768
0 days 00:00:06.490000,6.49,-1.547015,-0.6772,1.5303,1.402055,-1.44797,0.820249
0 days 00:00:06.500000,6.5,-1.55115,-0.67189,1.5281,1.40855,-1.4546000000000001,0.83073
0 days 00:00:06.510000,6.51,-1.555285,-0.66658,1.5259,1.4150449999999999,-1.46123,0.841211
0 days 00:00:06.520000,6.52,-1.55942,-0.66127,1.5237,1.42154,-1.46786,0.851692
0 days 00:00:06.530000,6.53,-1.563555,-0.65596,1.5215,1.428035,-1.47449,0.8621730000000001
0 days 00:00:06.540000,6.54,-1.56769,-0.65065,1.5193,1.43453,-1.48112,0.872654
0 days 00:00:06.550000,6.55,-1.571825,-0.64534,1.5171000000000001,1.441025,-1.48775,0.883135
0 days 00:00:06.560000,6.56,-1.57596,-0.64003,1.5149,1.44752,-1.49438,0.893616
0 days 00:00:06.570000,6.569999999999999,-1.580095,-0.63472,1.5127,1.454015,-1.50101,0.904097
0 days 00:00:06.580000,6.58,-1.58423,-0.6294099999999999,1.5105,1.46051,-1.5076399999999999,0.914578
0 days 00:00:06.590000,6.59,-1.588365,-0.6241,1.5083,1.4670050000000001,-1.51427,0.9250590000000001
0 days 00:00:06.600000,6.6,-1.5925,-0.61879,1.5061,1.4735,-1.5209,0.93554
0 days 00:00:06.610000,6.609999999999999,-1.595185,-0.60524,1.49798,1.46986,-1.523985,0.946388
0 days 00:00:06.620000,6.619999999999999,-1.5978700000000001,-0.5916899999999999,1.48986,1.46622,-1.52707,0.9572360000000001
0 days 00:00:06.630000,6.63,-1.600555,-0.57814,1.48174,1.46258,-1.530155,0.9680840000000001
0 days 00:00:06.640000,6.64,-1.60324,-0.5645899999999999,1.47362,1.4589400000000001,-1.53324,0.978932
0 days 00:00:06.650000,6.6499999999999995,-1.605925,-0.55104,1.4655,1.4553,-1.536325,0.9897800000000001
0 days 00:00:06.660000,6.66,-1.60861,-0.53749,1.45738,1.45166,-1.53941,1.000628
0 days 00:00:06.670000,6.67,-1.6112950000000001,-0.52394,1.44926,1.44802,-1.542495,1.011476
0 days 00:00:06.680000,6.68,-1.61398,-0.51039,1.4411399999999999,1.44438,-1.54558,1.022324
0 days 00:00:06.690000,6.6899999999999995,-1.616665,-0.49683999999999995,1.43302,1.4407400000000001,-1.548665,1.033172
0 days 00:00:06.700000,6.699999999999999,-1.61935,-0.48329,1.4249,1.4371,-1.55175,1.0440200000000002
0 days 00:00:06.710000,6.71,-1.6220350000000001,-0.46973999999999994,1.41678,1.43346,-1.554835,1.0548680000000001
0 days 00:00:06.720000,6.72,-1.6247200000000002,-0.45619,1.40866,1.42982,-1.55792,1.065716
0 days 00:00:06.730000,6.7299999999999995,-1.627405,-0.44264,1.40054,1.42618,-1.561005,1.076564
0 days 00:00:06.740000,6.74,-1.63009,-0.42908999999999997,1.39242,1.4225400000000001,-1.56409,1.087412
0 days 00:00:06.750000,6.75,-1.632775,-0.41554,1.3842999999999999,1.4189,-1.567175,1.09826
0 days 00:00:06.760000,6.76,-1.6354600000000001,-0.40198999999999996,1.37618,1.41526,-1.57026,1.109108
0 days 00:00:06.770000,6.77,-1.6381450000000002,-0.38844,1.3680599999999998,1.41162,-1.573345,1.1199560000000002
0 days 00:00:06.780000,6.779999999999999,-1.64083,-0.37489,1.35994,1.40798,-1.57643,1.1308040000000001
0 days 00:00:06.790000,6.79,-1.643515,-0.36134,1.3518199999999998,1.4043400000000001,-1.579515,1.1416520000000001
0 days 00:00:06.800000,6.8,-1.6462,-0.34779,1.3437,1.4007,-1.5826,1.1525
0 days 00:00:06.810000,6.81,-1.6434600000000001,-0.324075,1.327645,1.3786960000000001,-1.5774,1.1596950000000001
