index,time,x,y,z,rx,ry,rz
0 days 00:00:02.800000,2.8,0.0,0.0,0.0,0.0,0.0,0.0
0 days 00:00:02.810000,2.8099999999999996,0.0031125,0.0888375,0.0095545,0.018719,-0.03771,-0.04264
0 days 00:00:02.820000,2.82,0.006225,0.177675,0.019109,0.037438,-0.07542,-0.08528
0 days 00:00:02.830000,2.83,0.009337499999999999,0.2665125,0.0286635,0.056157,-0.11313000000000001,-0.12791999999999998
0 days 00:00:02.840000,2.84,0.01245,0.35535,0.038218,0.074876,-0.15084,-0.17056
0 days 00:00:02.850000,2.8499999999999996,0.0155625,0.4441875,0.0477725,0.093595,-0.18855,-0.2132
0 days 00:00:02.860000,2.86,0.018674999999999997,0.533025,0.057327,0.112314,-0.22626000000000002,-0.25583999999999996
0 days 00:00:02.870000,2.87,0.021787499999999998,0.6218625,0.06688150000000001,0.131033,-0.26397,-0.29847999999999997
0 days 00:00:02.880000,2.88,0.0249,0.7107,0.076436,0.149752,-0.30168,-0.34112
0 days 00:00:02.890000,2.8899999999999997,0.0280125,0.7995375,0.0859905,0.16847099999999998,-0.33939,-0.38376
0 days 00:00:02.900000,2.9,0.031125,0.888375,0.095545,0.18719,-0.3771,-0.4264
0 days 00:00:02.910000,2.91,0.0342375,0.9772125,0.10509950000000001,0.205909,-0.41481,-0.46903999999999996
0 days 00:00:02.920000,2.92,0.037349999999999994,1.06605,0.114654,0.224628,-0.45252000000000003,-0.5116799999999999
0 days 00:00:02.930000,2.9299999999999997,0.0404625,1.1548875,0.1242085,0.24334699999999998,-0.49023,-0.5543199999999999
0 days 00:00:02.940000,2.94,0.043574999999999996,1.243725,0.13376300000000002,0.262066,-0.52794,-0.5969599999999999
0 days 00:00:02.950000,2.95,0.0466875,1.3325625,0.14331750000000001,0.280785,-0.56565,-0.6396
0 days 00:00:02.960000,2.96,0.0498,1.4214,0.152872,0.299504,-0.60336,-0.68224
0 days 00:00:02.970000,2.9699999999999998,0.052912499999999994,1.5102375,0.1624265,0.318223,-0.64107,-0.72488
0 days 00:00:02.980000,2.98,0.056025,1.599075,0.171981,0.33694199999999996,-0.67878,-0.76752
0 days 00:00:02.990000,2.99,0.059137499999999996,1.6879125,0.18153550000000002,0.355661,-0.71649,-0.81016
0 days 00:00:03,3.0,0.06225,1.77675,0.19109,0.37438,-0.7542,-0.8528
0 days 00:00:03.010000,3.01,0.06536249999999999,1.8655875,0.2006445,0.393099,-0.79191,-0.8954399999999999
0 days 00:00:03.020000,3.02,0.068475,1.954425,0.21019900000000002,0.411818,-0.82962,-0.9380799999999999
0 days 00:00:03.030000,3.0300000000000002,0.0715875,2.0432625,0.21975350000000002,0.430537,-0.86733,-0.9807199999999999
0 days 00:00:03.040000,3.04,0.07469999999999999,2.1321,0.229308,0.449256,-0.9050400000000001,-1.0233599999999998
0 days 00:00:03.050000,3.05,0.07781249999999999,2.2209375,0.2388625,0.467975,-0.94275,-1.0659999999999998
0 days 00:00:03.060000,3.06,0.080925,2.309775,0.248417,0.48669399999999996,-0.98046,-1.1086399999999998
0 days 00:00:03.070000,3.0700000000000003,0.0840375,2.3986125,0.2579715,0.505413,-1.01817,-1.1512799999999999
0 days 00:00:03.080000,3.08,0.08714999999999999,2.48745,0.26752600000000004,0.524132,-1.05588,-1.1939199999999999
0 days 00:00:03.090000,3.09,0.0902625,2.5762875,0.2770805,0.542851,-1.09359,-1.2365599999999999
0 days 00:00:03.100000,3.1,0.093375,2.665125,0.28663500000000003,0.56157,-1.1313,-1.2792
0 days 00:00:03.110000,3.1100000000000003,0.09648749999999999,2.7539625,0.2961895,0.5802889999999999,-1.16901,-1.32184
0 days 00:00:03.120000,3.12,0.0996,2.8428,0.305744,0.599008,-1.20672,-1.36448
0 days 00:00:03.130000,3.13,0.1027125,2.9316375,0.31529850000000004,0.617727,-1.24443,-1.40712
0 days 00:00:03.140000,3.14,0.10582499999999999,3.020475,0.324853,0.636446,-1.28214,-1.44976
0 days 00:00:03.150000,3.1500000000000004,0.10893749999999999,3.1093125,0.3344075,0.655165,-1.31985,-1.4924
0 days 00:00:03.160000,3.16,0.11205,3.19815,0.343962,0.6738839999999999,-1.35756,-1.53504
0 days 00:00:03.170000,3.17,0.11516249999999999,3.2869875,0.3535165,0.692603,-1.39527,-1.57768
